id,name,market_cap,price,circular_supply,changes_24h,max_supply,url,hist_url,changes_1h,platform_symbol,name_notation,market_url,description,logo_url,logo_filepath,changes_7d,symbol,type,platform,volume_24h,volume_7d,volume_30d,created_at,is_deleted,modified_at,crypto_compare_symbol
291,Veltor,509956,0.919079,554855,47.79,,https://coinmarketcap.com/currencies/veltor/,https://coinmarketcap.com/currencies/veltor/historical-data/?start=20171116&end=20171117,6.14,,veltor,https://coinmarketcap.com/currencies/veltor/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/veltor.png,/home/Alluminate/alluminate/media/logo/veltor.png,144.1,VLT,currency,,677,,,2017-10-10,false,2017-11-17,
269,SwapToken,2407,1.607,15320585365,14.94,,https://coinmarketcap.com/currencies/swaptoken/,https://coinmarketcap.com/currencies/swaptoken/historical-data/?start=20171116&end=20171117,0.12,,swaptoken,https://coinmarketcap.com/currencies/swaptoken/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/swaptoken.png,/home/Alluminate/alluminate/media/logo/swaptoken.png,28.38,TOKEN,currency,,,,,2017-10-10,false,2017-11-17,
272,TrezarCoin,1335102,0.017007,78504500,1.24,"90,506,400 TZC",https://coinmarketcap.com/currencies/trezarcoin/,https://coinmarketcap.com/currencies/trezarcoin/historical-data/?start=20171116&end=20171117,-0.77,,trezarcoin,https://coinmarketcap.com/currencies/trezarcoin/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/trezarcoin.png,/home/Alluminate/alluminate/media/logo/trezarcoin.png,23.91,TZC,currency,,1693,,,2017-10-10,false,2017-11-17,
1319,Paypex,0,0.413389,,,"150,000,000 PAYX",https://coinmarketcap.com/currencies/paypex/,https://coinmarketcap.com/currencies/paypex/historical-data/?start=20171116&end=20171117,-0.56,ETH,paypex,https://coinmarketcap.com/currencies/paypex/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/paypex.png,/home/Alluminate/alluminate/media/logo/paypex.png,,PAYX,asset,Ethereum,19372,,,2017-11-16,false,2017-11-17,
217,Quark,1565746,0.006217,251839389,-38.81,,https://coinmarketcap.com/currencies/quark/,https://coinmarketcap.com/currencies/quark/historical-data/?start=20171116&end=20171117,-9.9,,quark,https://coinmarketcap.com/currencies/quark/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/quark.png,/home/Alluminate/alluminate/media/logo/quark.png,-39.22,QRK,currency,,636,,,2017-10-10,false,2017-11-17,
311,42-coin,468262,11149.1,41.999999,5.28,,https://coinmarketcap.com/currencies/42-coin/,https://coinmarketcap.com/currencies/42-coin/historical-data/?start=20171116&end=20171117,-0.66,,42-coin,https://coinmarketcap.com/currencies/42-coin/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/42-coin.png,/home/Alluminate/alluminate/media/logo/42-coin.png,4.28,42,currency,,,,,2017-10-10,false,2017-11-17,
928,KickCoin,10092204,0.031426,321137782,-7.3,"457,760,868 KICK",https://coinmarketcap.com/currencies/kickico/,https://coinmarketcap.com/currencies/kickico/historical-data/?start=20171116&end=20171117,-0.7,ETH,kickico,https://coinmarketcap.com/currencies/kickico/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/kickico.png,/home/Alluminate/alluminate/media/logo/kickico.png,-22.9,KICK,asset,Ethereum,285333,,,2017-10-10,false,2017-11-17,
1310,Upfiring,1345648,0.093448,14400000,-20.27,"815,000,000 UFR",https://coinmarketcap.com/currencies/upfiring/,https://coinmarketcap.com/currencies/upfiring/historical-data/?start=20171116&end=20171117,-6.14,ETH,upfiring,https://coinmarketcap.com/currencies/upfiring/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/upfiring.png,/home/Alluminate/alluminate/media/logo/upfiring.png,,UFR,asset,Ethereum,104345,,,2017-11-15,false,2017-11-17,
320,Rubies,244066,0.023433,10415252,3.01,,https://coinmarketcap.com/currencies/rubies/,https://coinmarketcap.com/currencies/rubies/historical-data/?start=20171116&end=20171117,-0.77,,rubies,https://coinmarketcap.com/currencies/rubies/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/rubies.png,/home/Alluminate/alluminate/media/logo/rubies.png,-1.53,RBIES,currency,,2349,,,2017-10-10,false,2017-11-17,
336,Bitcoin Scrypt,214172,0.013048,16414800,-11.29,,https://coinmarketcap.com/currencies/bitcoin-scrypt/,https://coinmarketcap.com/currencies/bitcoin-scrypt/historical-data/?start=20171116&end=20171117,1.41,,bitcoin-scrypt,https://coinmarketcap.com/currencies/bitcoin-scrypt/#markets,,https://files.coinmarketcap.com/static/img/coins/32x32/bitcoin-scrypt.png,/home/Alluminate/alluminate/media/logo/bitcoin-scrypt.png,-19.98,BTCS,currency,,714,,,2017-10-10,false,2017-11-17,
